City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
383,fortuna,40.5982,-124.1573,10.92,94,6,0.87,US,1682680197
384,santa marta,11.2408,-74.199,28.27,81,100,3.7,CO,1682680197
385,cruzilia,-21.8386,-44.8083,16.93,94,48,0.68,BR,1682680198
386,nova vicosa,-17.8919,-39.3719,25.35,77,0,2.83,BR,1682680198
387,puerto maldonado,-12.6,-69.1833,22.22,94,0,1.03,PE,1682680199
388,tena,-0.9833,-77.8167,20.57,98,100,1.0,EC,1682680199
389,kandri,21.4167,79.2667,32.76,26,8,1.29,IN,1682680200
390,yambio,4.5721,28.3955,23.75,90,100,2.48,SS,1682680201
391,cadale,2.7603,46.3222,29.65,61,100,5.1,SO,1682680202
392,la'ie,21.6477,-157.9253,22.98,91,100,4.07,US,1682680203
393,cimitarra,6.3142,-73.9497,22.01,93,86,0.89,CO,1682680203
394,ulsteinvik,62.3432,5.8487,8.37,46,3,1.34,NO,1682680204
395,jalai nur,49.45,117.7,6.65,50,99,6.93,CN,1682680205
396,hilo,19.7297,-155.09,24.04,88,0,1.54,US,1682680206
397,xinji,37.9028,115.2036,16.23,29,100,8.0,CN,1682679917
398,pizarro,4.9533,-77.366,24.98,91,99,1.94,CO,1682680208
399,santana,-0.0583,-51.1817,27.1,94,20,2.57,BR,1682679929
400,severnoye,56.3491,78.3619,20.9,37,81,7.27,RU,1682680209
401,manacapuru,-3.2997,-60.6206,24.26,92,66,1.32,BR,1682680002
402,tchintabaraden,15.8969,5.7985,38.32,13,51,4.43,NE,1682680210
403,aswan,24.0934,32.907,35.71,12,0,6.08,EG,1682680211
404,alpine,32.835,-116.7664,15.61,82,100,0.0,US,1682680211
405,kikwit,-5.041,18.8162,31.99,41,63,1.59,CD,1682680212
406,natal,-5.795,-35.2094,27.36,94,75,3.09,BR,1682680208
407,ilagan,17.1485,121.8892,26.94,74,13,3.46,PH,1682680213
408,san marcos de colon,13.4333,-86.8,19.23,85,100,0.88,HN,1682680214
409,naftalan,40.5067,46.825,27.68,32,35,1.68,AZ,1682680215
410,longboat key,27.4125,-82.659,26.03,78,40,6.26,US,1682680215
411,ouani,-12.1322,44.4258,28.34,72,41,2.84,KM,1682680216
412,valuyki,50.2035,38.1067,19.05,64,100,3.61,RU,1682680216
413,mangai,-4.05,19.5333,27.44,74,99,1.52,CD,1682680217
414,bel ombre,-4.6167,55.4167,28.41,74,57,4.23,SC,1682680218
415,jamestown,42.097,-79.2353,12.77,85,75,4.63,US,1682680009
416,vilyuysk,63.7553,121.6247,1.15,94,61,2.74,RU,1682680219
417,nuuk,64.1835,-51.7216,-0.66,100,20,1.03,GL,1682680220
418,tukrah,32.5341,20.5791,18.92,53,1,7.47,LY,1682680221
419,wad medani,14.4012,33.5199,37.68,26,55,1.91,SD,1682680221
420,ginir,7.1333,40.7,19.45,72,100,2.8,ET,1682680222
421,belomorsk,64.5232,34.7668,3.47,89,76,5.07,RU,1682680116
422,ekibastuz,51.6667,75.3667,26.51,18,42,5.61,KZ,1682680223
423,center,31.5107,-96.4247,12.22,86,0,0.0,US,1682680224
424,bayanhongor,46.7167,100.1167,5.63,33,100,4.67,MN,1682680224
425,machico,32.7,-16.7667,27.06,69,20,2.06,PT,1682680225
426,kapuskasing,49.4169,-82.4331,-0.58,98,97,1.57,CA,1682680226
427,sos'va,59.1766,61.8558,9.08,33,6,3.06,RU,1682680226
428,olovyannaya,50.95,115.5667,7.44,33,72,4.74,RU,1682680227
429,illizi,26.4833,8.4667,36.29,9,1,4.75,DZ,1682680228
430,tyukhtet,56.5389,89.3011,17.2,60,83,5.55,RU,1682680228
431,taroa,8.7058,171.2275,27.56,82,83,7.84,MH,1682680229
432,xilin hot,43.9667,116.0333,8.97,21,100,6.63,CN,1682680229
433,coronel dorrego,-38.7187,-61.2873,18.8,50,0,7.29,AR,1682680230
434,bryne,58.7354,5.6477,9.57,48,100,4.12,NO,1682680217
435,amnat charoen,15.9167,104.75,33.72,41,81,2.07,TH,1682680231
436,as sulayyil,20.4607,45.5779,35.54,15,0,2.34,SA,1682680232
437,kifri,34.6959,44.9661,33.06,10,8,1.32,IQ,1682680233
438,susuman,62.7833,148.1667,-10.56,91,41,1.51,RU,1682680234
439,suntar,62.1444,117.6319,1.59,99,95,2.58,RU,1682680235
440,takahata,38.0025,140.1911,16.18,59,0,0.34,JP,1682680235
441,bowen,-20.0167,148.2333,23.32,79,48,6.07,AU,1682680236
442,chorbane,35.2858,10.3858,27.44,28,15,4.23,TN,1682680236
443,barcelos,41.5388,-8.6151,22.18,59,98,2.78,PT,1682680164
444,manakara,-22.1333,48.0167,26.15,62,56,3.23,MG,1682680238
445,guapo,-16.8306,-49.5319,22.21,87,6,0.64,BR,1682680238
446,cole harbour,44.6724,-63.4751,5.4,91,53,2.68,CA,1682680240
447,impfondo,1.6381,18.0667,35.5,39,48,1.59,CG,1682680240
448,sandnessjoen,66.0217,12.6316,6.29,62,40,4.63,NO,1682680241
449,muravlenko,63.7898,74.523,-4.16,94,100,17.42,RU,1682680241
450,boyolangu,-8.1181,111.8935,25.32,93,100,1.54,ID,1682680242
451,raduzhny,62.0961,77.475,-1.04,83,100,10.5,RU,1682680243
452,port augusta,-32.5,137.7667,15.23,53,95,3.79,AU,1682680243
453,ta`u,-14.2336,-169.5144,28.0,78,95,7.76,AS,1682680244
454,velikiye luki,56.34,30.5452,10.1,42,62,3.51,RU,1682680244
455,kongwa,-6.2,36.4167,27.06,49,52,4.71,TZ,1682680245
